ArtistName,Role,BandName,Genre,FormedYear,ConnectionType
Luke Steele,Lead Vocals / Guitar,Empire of the Sun,Electronic / Synth-pop,2007,Member
Nick Littlemore,Keyboards / Producer,Empire of the Sun,Electronic / Synth-pop,2007,Member
Luke Steele,Lead Vocals,The Sleepy Jackson,Alternative Rock,1998,Member
Nick Littlemore,Producer / Vocals,Pnau,Dance / Electronic,1999,Member
Julian Casablancas,Lead Vocals,The Strokes,Indie Rock,1998,Member
Albert Hammond Jr,Rhythm Guitar,The Strokes,Indie Rock,1998,Member
Nick Valensi,Lead Guitar,The Strokes,Indie Rock,1998,Member
Fabrizio Moretti,Drums,The Strokes,Indie Rock,1998,Member
Julian Casablancas,Lead Vocals,The Voidz,Experimental Rock,2013,Member
Nick Valensi,Lead Vocals / Guitar,CRX,Hard Rock,2013,Member
Fabrizio Moretti,Drums,Machinegum,Indie Pop,2018,Member
Stevie Nicks,Lead Vocals,Fleetwood Mac,Rock,1967,Member
Lindsey Buckingham,Lead Guitar / Vocals,Fleetwood Mac,Rock,1967,Member
Mick Fleetwood,Drums,Fleetwood Mac,Rock,1967,Member
Christine McVie,Keyboards / Vocals,Fleetwood Mac,Rock,1967,Member
Stevie Nicks,Vocals,Buckingham Nicks,Folk Rock,1973,Member
Lindsey Buckingham,Guitar / Vocals,Buckingham Nicks,Folk Rock,1973,Member
Stevie Nicks,Guest Vocals,Tom Petty and the Heartbreakers,Heartland Rock,1976,Collaborator
Damon Albarn,Lead Vocals / Keyboards,Blur,Britpop,1988,Member
Damon Albarn,Vocals / Keyboards,Gorillaz,Virtual / Trip Hop,1998,Member
Mick Jones,Guitar / Vocals,The Clash,Punk Rock,1976,Member
Mick Jones,Guitar,Gorillaz,Virtual / Trip Hop,1998,Collaborator
Paul Simonon,Bass,The Clash,Punk Rock,1976,Member
Paul Simonon,Bass,Gorillaz,Virtual / Trip Hop,1998,Collaborator
Dave Grohl,Drums,Nirvana,Grunge,1987,Member
Dave Grohl,Lead Vocals / Guitar,Foo Fighters,Alternative Rock,1994,Member
Dave Grohl,Drums,Queens of the Stone Age,Desert Rock,1996,Collaborator
Dave Grohl,Drums,Them Crooked Vultures,Hard Rock,2009,Member
Josh Homme,Lead Vocals / Guitar,Queens of the Stone Age,Desert Rock,1996,Member
Josh Homme,Guitar / Vocals,Them Crooked Vultures,Hard Rock,2009,Member
John Paul Jones,Bass / Keyboards,Led Zeppelin,Hard Rock,1968,Member
John Paul Jones,Bass,Them Crooked Vultures,Hard Rock,2009,Member
Alex Turner,Lead Vocals / Guitar,Arctic Monkeys,Indie Rock,2002,Member
Alex Turner,Lead Vocals / Guitar,The Last Shadow Puppets,Baroque Pop,2007,Member
Miles Kane,Lead Vocals / Guitar,The Last Shadow Puppets,Baroque Pop,2007,Member
